,Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
47,19,Female,Other,Undergraduate,Twitter,News,5.2,182,3.1,1.9,7.5,High,6.4
48,20,Male,UK,Undergraduate,Instagram,Entertainment,7.4,223,1.0,1.4,5.2,Very High,5.0
49,21,Male,Germany,Undergraduate,Instagram,Entertainment,3.6,134,3.9,2.6,7.1,Medium,8.5
50,22,Female,Other,Undergraduate,YouTube,Education,8.0,244,1.0,1.1,5.4,Very High,4.7
51,19,Female,Other,Undergraduate,Twitter,News,7.9,258,1.0,1.3,5.0,Very High,4.9
52,21,Female,India,Undergraduate,YouTube,Education,6.8,233,1.0,1.2,5.3,Very High,4.6
53,22,Male,Australia,Undergraduate,Twitter,News,7.3,239,1.0,1.2,5.5,Very High,4.7
54,21,Male,Other,Undergraduate,LinkedIn,Education,3.4,136,4.6,2.2,8.6,Low,8.8
55,21,Female,UK,Undergraduate,LinkedIn,Education,4.4,139,4.9,2.0,6.4,High,6.6
56,22,Male,Other,Undergraduate,Twitter,News,5.9,208,1.9,1.9,4.7,Very High,5.4
57,23,Male,UK,Graduate,TikTok,Entertainment,6.0,180,1.2,1.8,4.8,Very High,5.5
58,24,Female,Other,Graduate,TikTok,Entertainment,3.0,106,5.1,2.3,8.1,Medium,8.0
59,19,Male,Other,Undergraduate,Instagram,Entertainment,2.7,94,5.5,1.9,8.5,Low,7.6
60,24,Male,Other,Graduate,Instagram,Entertainment,1.7,104,7.4,2.6,7.7,Low,8.7
61,22,Female,Other,Undergraduate,YouTube,Education,6.2,199,2.5,1.4,5.3,Very High,5.5
62,21,Male,Other,Undergraduate,TikTok,Entertainment,1.8,79,6.5,2.6,7.9,Low,8.1
63,24,Female,Other,Graduate,Twitter,News,7.1,205,2.1,2.3,5.2,Very High,4.8
64,20,Female,India,Undergraduate,Snapchat,Entertainment,6.5,203,1.0,1.1,5.7,High,4.1
65,22,Male,Other,Undergraduate,Snapchat,Entertainment,7.6,243,1.0,1.3,5.9,Very High,6.0
66,19,Female,Other,Undergraduate,LinkedIn,Education,4.9,186,2.4,2.3,6.8,High,6.6
67,24,Female,Other,Graduate,Instagram,Entertainment,8.2,251,1.0,1.0,5.3,Very High,4.4
68,21,Male,Other,Undergraduate,Snapchat,Entertainment,5.2,179,1.7,2.9,6.4,High,6.1
69,19,Female,Other,Undergraduate,Instagram,Entertainment,2.9,130,5.6,2.1,7.9,Medium,7.7
70,23,Female,Other,Graduate,YouTube,Education,4.4,171,3.4,2.1,7.3,High,6.2
71,20,Female,Other,Undergraduate,Snapchat,Entertainment,4.0,136,2.8,1.6,7.5,Medium,7.2
72,23,Male,Other,Graduate,TikTok,Entertainment,6.4,224,1.0,1.2,5.2,Very High,4.6
73,22,Male,UK,Undergraduate,Facebook,Networking,8.2,249,1.0,1.1,4.6,Very High,4.1
74,22,Male,Other,Undergraduate,Twitter,News,5.1,189,3.6,2.1,6.5,High,6.9
75,19,Male,Other,Undergraduate,YouTube,Education,2.5,91,7.1,2.5,7.6,Medium,8.4
76,22,Male,Other,Undergraduate,Facebook,Networking,6.5,190,3.8,2.0,5.8,Very High,5.5
77,24,Female,Australia,Graduate,YouTube,Education,7.5,247,1.0,1.1,4.7,Very High,5.3
78,24,Male,Other,Graduate,LinkedIn,Education,3.2,131,4.0,2.0,7.1,Medium,8.6
79,23,Male,Germany,Graduate,Facebook,Networking,7.3,214,1.0,2.5,5.7,Very High,5.3
80,18,Female,USA,High School,Instagram,Entertainment,5.7,202,2.5,1.8,5.1,High,4.9
81,23,Female,Other,Graduate,Instagram,Entertainment,4.7,146,2.6,1.5,6.1,High,6.6
82,22,Male,Other,Undergraduate,Twitter,News,5.9,199,1.8,1.2,6.0,High,7.0
83,18,Male,Other,High School,YouTube,Education,7.4,218,1.0,0.7,5.0,Very High,4.7
84,18,Male,India,High School,TikTok,Entertainment,8.4,237,1.0,1.4,5.9,Very High,5.3
85,19,Male,India,Undergraduate,Instagram,Entertainment,8.1,259,1.0,0.8,4.8,Very High,4.1
86,22,Female,Other,Undergraduate,LinkedIn,Education,3.6,148,4.5,2.2,8.6,Medium,8.6
87,20,Male,Canada,Undergraduate,Twitter,News,5.8,174,2.1,1.5,5.6,High,5.5
88,21,Female,USA,Undergraduate,Snapchat,Entertainment,8.0,228,1.0,1.4,5.8,Very High,5.1
89,23,Male,India,Graduate,Snapchat,Entertainment,5.7,191,1.0,1.2,5.9,High,5.2
90,18,Male,Australia,High School,TikTok,Entertainment,8.0,226,1.0,0.5,4.6,Very High,5.8
91,23,Male,UK,Graduate,Instagram,Entertainment,3.7,146,4.3,2.2,8.4,Low,7.2
92,20,Male,Other,Undergraduate,Facebook,Networking,3.4,146,6.0,2.5,8.6,Low,8.7
93,23,Female,Australia,Graduate,Facebook,Networking,3.3,137,4.8,2.3,8.6,Medium,8.3
94,18,Female,Canada,High School,Snapchat,Entertainment,3.1,111,5.7,1.8,7.8,Medium,7.5
95,21,Male,Other,Undergraduate,LinkedIn,Education,8.2,236,1.0,1.3,6.0,Very High,5.4
96,20,Male,USA,Undergraduate,LinkedIn,Education,4.1,154,3.0,1.6,7.2,Medium,6.8
97,18,Female,Other,High School,TikTok,Entertainment,3.5,114,3.7,1.9,7.0,Medium,6.5
98,21,Male,Other,Undergraduate,Facebook,Networking,5.9,193,1.5,1.1,6.0,Very High,6.7
99,22,Male,Germany,Undergraduate,YouTube,Education,5.6,182,4.1,2.3,5.6,High,5.7
100,22,Male,Canada,Undergraduate,YouTube,Education,3.8,149,3.5,2.4,7.5,Medium,7.9
101,20,Male,Other,Undergraduate,Facebook,Networking,3.8,128,4.9,2.4,7.6,High,8.7
102,21,Female,Other,Undergraduate,Facebook,Networking,5.8,200,1.5,2.2,5.8,Very High,4.9
103,18,Male,Other,High School,Snapchat,Entertainment,3.7,144,5.0,3.5,7.5,Low,7.0
104,20,Female,Other,Undergraduate,LinkedIn,Education,2.9,106,5.4,1.4,8.3,Medium,8.4
105,21,Male,India,Undergraduate,LinkedIn,Education,4.5,151,3.4,1.5,7.5,Medium,7.0
106,21,Male,Other,Undergraduate,Snapchat,Entertainment,3.8,122,4.2,1.7,7.2,Medium,6.1
107,20,Male,Other,Undergraduate,Twitter,News,2.9,114,4.6,1.8,8.2,Low,7.6
108,23,Male,Other,Graduate,Twitter,News,5.0,160,3.4,1.2,6.7,High,6.8
109,21,Male,Other,Undergraduate,Instagram,Entertainment,6.5,191,1.1,1.2,5.6,Very High,4.3
110,22,Female,UK,Undergraduate,Instagram,Entertainment,3.6,137,3.4,1.5,7.1,Medium,6.0
111,18,Male,Other,High School,LinkedIn,Education,6.9,219,1.0,1.4,5.9,Very High,4.9
112,23,Female,Other,Graduate,TikTok,Entertainment,2.3,85,5.8,2.5,8.3,Low,8.8
113,19,Male,Other,Undergraduate,Snapchat,Entertainment,2.6,97,6.7,2.6,7.8,Low,8.8
114,22,Male,Other,Undergraduate,Instagram,Entertainment,6.2,183,1.9,1.7,4.8,Very High,5.9
115,24,Female,Australia,Graduate,Instagram,Entertainment,3.8,147,4.1,2.4,7.3,High,6.5
116,20,Female,Other,Undergraduate,Instagram,Entertainment,7.5,225,1.0,0.9,4.7,Very High,4.6
117,20,Male,India,Undergraduate,Instagram,Entertainment,3.8,122,5.2,3.1,8.2,High,7.8
118,21,Female,Other,Undergraduate,TikTok,Entertainment,8.4,242,1.0,1.0,5.3,Very High,5.9
119,24,Female,Other,Graduate,Twitter,News,5.9,211,1.8,0.6,4.9,Very High,4.1
120,22,Male,Australia,Undergraduate,YouTube,Education,6.0,185,2.9,1.0,6.8,High,6.9
121,23,Male,Other,Graduate,TikTok,Entertainment,3.5,139,4.8,1.3,8.5,Medium,7.3
122,21,Male,Other,Undergraduate,LinkedIn,Education,3.1,120,6.1,2.2,8.5,Low,8.5
123,19,Female,Canada,Undergraduate,Instagram,Entertainment,4.5,144,3.6,1.8,6.1,High,6.6
124,21,Female,Other,Undergraduate,Instagram,Entertainment,5.6,177,1.4,1.4,5.4,Very High,5.1
125,21,Female,Other,Undergraduate,Facebook,Networking,3.6,115,3.3,3.1,7.2,Medium,9.0
126,18,Male,UK,High School,LinkedIn,Education,7.3,236,2.0,1.4,5.3,Very High,4.0
127,21,Female,Other,Undergraduate,YouTube,Education,8.3,245,1.1,1.3,5.1,Very High,4.2
128,20,Female,India,Undergraduate,LinkedIn,Education,5.1,171,2.8,1.3,6.3,High,6.1
129,24,Female,India,Graduate,YouTube,Education,3.4,116,4.3,1.7,8.0,Medium,7.5
130,22,Female,Other,Undergraduate,Instagram,Entertainment,8.0,257,1.2,1.0,4.9,Very High,4.0
131,18,Male,Other,High School,LinkedIn,Education,3.7,125,3.4,2.2,6.9,Medium,6.9
132,18,Female,Other,High School,Instagram,Entertainment,3.3,129,4.0,1.2,8.3,Medium,8.5
133,21,Male,Other,Undergraduate,Twitter,News,5.3,191,3.2,1.6,7.3,High,6.7
134,23,Female,USA,Graduate,Instagram,Entertainment,3.8,148,3.9,2.1,7.4,Medium,7.1
135,24,Male,Other,Graduate,Instagram,Entertainment,3.7,141,4.3,2.0,7.4,Medium,8.7
136,22,Female,Other,Undergraduate,Twitter,News,1.9,107,6.0,2.1,9.0,Low,8.6
137,21,Female,Germany,Undergraduate,Facebook,Networking,4.4,142,3.9,1.6,6.5,High,6.5
138,18,Female,UK,High School,LinkedIn,Education,4.0,163,5.1,1.9,6.9,High,6.1
139,20,Male,Other,Undergraduate,YouTube,Education,5.6,187,2.5,1.6,5.3,Very High,5.4
140,22,Female,Other,Undergraduate,YouTube,Education,3.2,121,5.3,2.5,8.3,Low,7.5
141,21,Female,UK,Undergraduate,Snapchat,Entertainment,6.1,187,1.0,2.0,4.5,Very High,4.1
142,18,Female,Australia,High School,TikTok,Entertainment,5.3,186,2.7,1.5,7.1,High,6.4
143,18,Female,Other,High School,LinkedIn,Education,5.6,204,1.7,1.4,5.9,High,5.2
144,24,Male,Other,Graduate,TikTok,Entertainment,6.3,209,1.0,1.6,5.5,Very High,5.6
145,23,Female,Other,Graduate,Snapchat,Entertainment,5.8,171,1.5,1.9,6.9,High,6.1
146,23,Male,Canada,Graduate,Twitter,News,2.8,113,4.9,2.1,7.7,Medium,8.1
147,18,Female,Other,High School,YouTube,Education,6.5,216,2.2,1.8,5.6,Very High,4.3
148,23,Female,Australia,Graduate,Snapchat,Entertainment,4.6,155,2.3,2.3,6.9,High,6.6
149,18,Female,USA,High School,TikTok,Entertainment,7.0,230,1.0,1.9,4.9,Very High,5.4
150,18,Male,Other,High School,Twitter,News,1.8,98,5.8,3.4,8.0,Low,8.0
151,18,Male,Other,High School,Instagram,Entertainment,3.7,119,4.0,1.6,6.3,Medium,6.5
152,18,Male,Other,High School,TikTok,Entertainment,7.9,244,1.0,1.0,5.9,Very High,4.7
153,22,Male,India,Undergraduate,Snapchat,Entertainment,4.6,146,3.8,1.9,6.6,Medium,6.9
154,20,Female,Other,Undergraduate,Twitter,News,8.2,248,1.0,0.9,5.8,Very High,4.6
155,21,Female,Other,Undergraduate,TikTok,Entertainment,8.4,250,1.0,0.6,5.9,Very High,5.0
156,22,Female,Other,Undergraduate,TikTok,Entertainment,3.7,149,3.7,1.3,7.1,Medium,6.7
157,23,Female,Other,Graduate,TikTok,Entertainment,7.3,241,1.0,1.2,5.5,Very High,5.7
158,24,Female,Other,Graduate,Twitter,News,2.9,115,5.3,1.9,7.7,Medium,8.1
159,18,Male,Other,High School,Twitter,News,1.8,91,6.3,2.6,8.9,Low,8.6
160,23,Female,Other,Graduate,Snapchat,Entertainment,6.3,207,1.0,1.0,5.7,Very High,5.9
161,19,Male,Other,Undergraduate,YouTube,Education,3.4,136,4.7,1.6,8.6,Low,7.6
162,24,Male,Other,Graduate,Facebook,Networking,5.7,192,2.5,1.7,6.8,High,6.6
163,24,Female,Other,Graduate,Facebook,Networking,3.8,151,6.2,2.1,7.4,Medium,6.3
164,21,Male,Other,Undergraduate,TikTok,Entertainment,3.6,154,5.9,2.4,7.4,Medium,7.8
165,18,Female,Other,High School,Facebook,Networking,6.5,220,1.0,2.5,4.7,Very High,4.8
166,24,Female,Other,Graduate,YouTube,Education,7.8,225,1.0,1.2,5.4,Very High,5.6
167,22,Male,USA,Undergraduate,TikTok,Entertainment,3.7,136,3.1,2.3,7.1,Medium,7.5
168,18,Male,Other,High School,LinkedIn,Education,3.7,135,3.8,1.5,6.7,Medium,6.2
169,19,Male,India,Undergraduate,Facebook,Networking,5.7,187,2.6,0.9,7.2,Very High,6.2
170,18,Female,USA,High School,Facebook,Networking,3.3,128,5.7,3.0,8.0,Medium,8.8
171,21,Female,Other,Undergraduate,Facebook,Networking,3.3,135,4.1,1.7,8.2,Low,8.6
172,20,Male,Other,Undergraduate,Snapchat,Entertainment,1.8,86,5.7,2.0,8.5,Low,7.5
173,23,Female,Canada,Graduate,Snapchat,Entertainment,5.4,170,1.0,1.6,7.1,High,6.5
174,20,Female,Other,Undergraduate,YouTube,Education,5.9,190,2.0,1.5,4.9,High,5.1
175,20,Male,Australia,Undergraduate,LinkedIn,Education,3.3,141,3.9,1.7,8.8,Medium,7.9
176,24,Male,Other,Graduate,Snapchat,Entertainment,7.2,217,1.0,1.0,4.7,Very High,5.4
177,18,Male,Other,High School,Snapchat,Entertainment,1.6,65,5.7,3.2,8.1,Low,8.6
178,24,Female,Other,Graduate,YouTube,Education,3.4,149,4.5,1.7,8.2,Low,8.2
179,22,Female,Other,Undergraduate,Twitter,News,2.6,97,4.0,1.7,7.5,Low,8.5
180,20,Female,USA,Undergraduate,Twitter,News,5.1,176,1.7,2.2,6.5,High,6.9
181,23,Female,Other,Graduate,Instagram,Entertainment,5.8,202,3.9,1.8,6.2,High,6.2
182,19,Male,Australia,Undergraduate,Instagram,Entertainment,4.3,142,2.7,1.6,6.7,Medium,6.3
183,20,Female,Other,Undergraduate,TikTok,Entertainment,2.5,100,4.6,1.6,7.7,Medium,8.5
184,22,Female,Other,Undergraduate,YouTube,Education,5.8,181,3.7,1.2,6.0,High,4.7
185,20,Male,Other,Undergraduate,LinkedIn,Education,2.5,92,7.8,2.3,7.4,Medium,8.2
186,19,Female,Australia,Undergraduate,TikTok,Entertainment,6.4,191,1.0,2.0,5.5,Very High,4.4
187,20,Male,Other,Undergraduate,Twitter,News,7.8,227,1.0,0.5,5.2,Very High,5.2
188,20,Male,USA,Undergraduate,Twitter,News,6.5,205,1.8,1.3,4.5,Very High,4.2
189,22,Female,India,Undergraduate,YouTube,Education,3.0,121,6.4,2.6,8.9,Low,7.1
190,24,Female,Other,Graduate,Facebook,Networking,1.5,62,5.7,1.4,7.2,Low,7.6
191,19,Female,Other,Undergraduate,TikTok,Entertainment,8.1,260,1.0,1.5,5.6,Very High,5.5
192,21,Female,Other,Undergraduate,Snapchat,Entertainment,2.6,117,6.0,1.8,7.4,Medium,7.4
193,18,Male,Other,High School,Snapchat,Entertainment,2.7,94,5.6,2.5,8.5,Low,7.6
194,23,Female,Other,Graduate,Snapchat,Entertainment,2.4,118,5.3,2.5,7.6,Medium,7.6
195,23,Female,Other,Graduate,TikTok,Entertainment,6.6,191,1.3,1.9,6.0,High,5.0
196,22,Male,USA,Undergraduate,YouTube,Education,3.8,142,3.1,2.3,7.9,Medium,7.3
197,21,Female,USA,Undergraduate,LinkedIn,Education,5.8,188,2.0,0.4,7.0,High,6.4
198,20,Male,Other,Undergraduate,LinkedIn,Education,8.2,249,1.0,0.6,6.0,Very High,5.7
199,22,Male,Other,Undergraduate,Facebook,Networking,4.5,175,3.7,1.9,6.0,High,6.3
200,18,Female,Other,High School,Twitter,News,5.6,202,2.0,1.5,4.8,Very High,5.9
201,20,Male,Other,Undergraduate,TikTok,Entertainment,3.5,123,4.9,2.4,7.9,High,7.8
202,23,Female,Other,Graduate,YouTube,Education,2.9,120,5.9,2.7,7.3,Medium,8.5
203,19,Male,USA,Undergraduate,TikTok,Entertainment,6.6,228,1.5,1.7,5.9,Very High,5.0
204,24,Male,India,Graduate,Twitter,News,8.0,254,1.0,0.9,5.1,Very High,5.3
205,18,Male,Other,High School,LinkedIn,Education,7.3,242,1.0,0.3,5.1,Very High,4.1
206,19,Female,Other,Undergraduate,Twitter,News,2.5,104,5.5,2.1,7.3,Low,8.3
207,19,Male,Canada,Undergraduate,TikTok,Entertainment,2.6,101,4.8,2.6,8.4,Low,8.2
208,24,Male,India,Graduate,Twitter,News,2.3,102,6.0,1.9,8.3,Low,8.9
209,21,Male,Other,Undergraduate,Twitter,News,5.3,189,2.6,2.0,7.3,Medium,6.1
210,19,Female,Other,Undergraduate,Snapchat,Entertainment,7.7,254,2.0,1.5,5.7,Very High,5.3
211,19,Female,Other,Undergraduate,Snapchat,Entertainment,4.6,167,4.7,1.9,6.2,High,6.2
212,21,Male,Other,Undergraduate,YouTube,Education,5.9,200,2.4,0.0,7.1,High,6.4
213,18,Male,Other,High School,LinkedIn,Education,7.5,232,1.0,0.5,5.0,Very High,5.4
214,18,Male,Canada,High School,LinkedIn,Education,6.3,194,1.0,2.4,6.0,High,6.0
215,19,Male,Other,Undergraduate,YouTube,Education,5.3,173,3.7,1.4,7.0,High,6.7
216,23,Female,Other,Graduate,TikTok,Entertainment,1.6,84,6.6,1.6,8.7,Low,8.9
217,20,Male,Other,Undergraduate,LinkedIn,Education,6.5,219,1.9,2.0,4.5,Very High,4.7
218,20,Female,Other,Undergraduate,Twitter,News,8.2,251,1.0,1.0,5.0,Very High,5.9
219,23,Male,Other,Graduate,LinkedIn,Education,6.1,208,2.6,2.0,5.9,Very High,4.8
220,22,Male,Other,Undergraduate,LinkedIn,Education,5.7,168,2.7,1.7,7.3,High,6.9
221,19,Female,Other,Undergraduate,Twitter,News,5.1,182,2.0,2.0,7.1,High,6.6
222,24,Male,Other,Graduate,Twitter,News,3.8,140,3.8,2.2,6.3,Medium,6.2
223,20,Male,India,Undergraduate,YouTube,Education,5.7,206,2.5,1.9,5.1,Very High,4.2
224,20,Female,UK,Undergraduate,Facebook,Networking,6.6,208,1.4,2.5,5.3,Very High,4.6
225,20,Male,USA,Undergraduate,Instagram,Entertainment,8.3,251,1.0,1.4,5.1,Very High,5.8
226,20,Male,Other,Undergraduate,Instagram,Entertainment,7.1,207,1.0,0.4,6.0,Very High,4.5
227,18,Male,Other,High School,Facebook,Networking,3.0,132,4.8,2.5,8.4,Medium,7.9
228,22,Male,Other,Undergraduate,Instagram,Entertainment,8.5,265,1.0,1.4,6.0,Very High,5.3
229,24,Female,Other,Graduate,Twitter,News,3.5,146,5.7,2.7,7.2,Medium,7.3
230,18,Female,USA,High School,Twitter,News,3.8,123,2.1,1.8,8.4,Medium,7.2
231,19,Male,Other,Undergraduate,Instagram,Entertainment,2.0,83,5.8,3.1,7.1,Medium,8.2
232,18,Female,Other,High School,Twitter,News,4.2,165,3.9,2.4,6.9,High,6.8
233,21,Female,Other,Undergraduate,YouTube,Education,4.5,138,3.7,3.2,6.1,High,6.3
234,24,Female,Other,Graduate,YouTube,Education,4.2,150,3.5,1.6,7.3,High,6.1
235,24,Female,Other,Graduate,Facebook,Networking,5.6,181,1.0,1.3,5.5,High,4.1
236,21,Female,India,Undergraduate,Facebook,Networking,3.1,139,5.2,2.1,7.2,Medium,8.5
237,19,Female,Other,Undergraduate,Instagram,Entertainment,5.9,206,3.5,1.3,5.5,High,4.0
238,22,Female,India,Undergraduate,YouTube,Education,7.5,247,1.0,0.7,5.5,Very High,4.7
239,20,Male,Other,Undergraduate,Snapchat,Entertainment,3.8,131,4.9,0.7,6.7,High,6.2
240,21,Female,Other,Undergraduate,LinkedIn,Education,3.3,130,4.4,2.0,8.9,Low,7.9
241,24,Male,Other,Graduate,Facebook,Networking,4.1,155,3.9,2.2,6.1,Medium,6.0
242,19,Female,Other,Undergraduate,YouTube,Education,6.8,233,1.0,1.1,5.6,Very High,5.0
243,23,Male,Other,Graduate,Snapchat,Entertainment,3.5,112,4.2,3.1,7.0,Medium,6.0
244,19,Male,Canada,Undergraduate,YouTube,Education,3.4,149,5.6,2.2,8.5,Low,8.0
245,19,Male,Other,Undergraduate,LinkedIn,Education,5.8,184,2.7,2.2,6.3,Very High,6.4
246,19,Female,India,Undergraduate,TikTok,Entertainment,6.0,180,3.4,1.6,6.8,High,6.5
247,23,Female,Other,Graduate,TikTok,Entertainment,3.0,124,5.9,2.7,8.6,Low,7.7
248,19,Male,USA,Undergraduate,Twitter,News,5.0,181,3.4,1.9,7.5,High,6.6
249,24,Female,India,Graduate,Twitter,News,5.5,167,3.9,2.3,4.6,High,5.1
250,20,Female,India,Undergraduate,TikTok,Entertainment,5.3,158,3.1,1.7,6.0,Very High,6.5
251,21,Male,Canada,Undergraduate,Facebook,Networking,5.6,200,3.1,1.8,6.0,High,6.3
252,19,Female,India,Undergraduate,Facebook,Networking,5.8,207,2.0,1.7,7.4,High,6.5
253,18,Male,Other,High School,Twitter,News,2.2,86,5.9,2.3,8.3,Medium,7.4
254,24,Male,Other,Graduate,LinkedIn,Education,1.7,103,5.7,2.8,8.4,Low,7.6
255,21,Male,India,Undergraduate,Instagram,Entertainment,3.0,136,5.8,3.4,7.2,Medium,7.2
256,18,Female,Other,High School,TikTok,Entertainment,4.7,181,2.4,1.7,6.6,High,7.0
257,23,Male,Other,Graduate,YouTube,Education,6.2,188,2.4,1.7,5.9,High,5.6
258,18,Male,Other,High School,TikTok,Entertainment,6.2,203,1.6,2.1,5.9,Very High,4.9
259,20,Female,Other,Undergraduate,Instagram,Entertainment,1.9,111,7.0,3.1,7.8,Low,7.8
260,23,Male,UK,Graduate,LinkedIn,Education,2.6,126,6.0,2.4,8.8,Low,8.1
261,18,Male,Other,High School,Facebook,Networking,5.9,196,3.6,0.3,6.1,High,6.2
262,20,Male,Other,Undergraduate,LinkedIn,Education,3.9,129,4.7,2.3,6.9,Medium,6.6
263,22,Female,India,Undergraduate,Instagram,Entertainment,7.1,205,1.0,0.1,5.1,Very High,4.1
264,19,Male,USA,Undergraduate,Twitter,News,3.9,132,4.0,2.8,6.1,Medium,6.0
265,20,Male,Other,Undergraduate,TikTok,Entertainment,8.0,227,1.0,1.1,4.9,Very High,4.8
266,24,Male,Other,Graduate,Snapchat,Entertainment,5.9,179,1.7,2.0,6.1,High,6.1
267,24,Female,Australia,Graduate,Facebook,Networking,8.4,237,1.0,0.4,5.9,Very High,5.5
268,21,Female,Other,Undergraduate,YouTube,Education,7.5,242,1.0,0.3,4.7,Very High,6.0
269,20,Female,Australia,Undergraduate,Snapchat,Entertainment,7.5,235,1.0,1.3,5.2,Very High,4.8
